job_id,benchmark,model_key,method,task_id,seed,budget,SUN,AUDC,mSUN,candidate_oracle_attempts,complete,model_revision_recorded,selected_generation_recorded,actual_model_state_hash,raw_result_sha256,raw_result_relative_path,raw_RPC_sha256,raw_RPC_relative_path,receipt_sha256,verification_basis
all30-final-made-7c0efd227bf52418fb36aad2,made,qwen35_4b,baseline,Ag-Nd-Pd-Pt-Tb,1,10,4,0.5,0.4,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,c01d8a3159c8432f2090355e6f739ebbe5bd4c48241e17eeb31b055de4cc443e,evaluation_workspaces/made_all30_b10_v1/workers/worker_00/jobs/all30-final-made-7c0efd227bf52418fb36aad2/4ed8a7f477a543a7a42b1d3033d0f801/result.json,d373fbc844900c7f9f141c05cc15dfb4371d220db6e647b38d9bd7608d2e2454,evaluation_workspaces/made_all30_b10_v1/workers/worker_00/jobs/all30-final-made-7c0efd227bf52418fb36aad2/4ed8a7f477a543a7a42b1d3033d0f801/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
all30-final-made-699a176cb7e28a04547e3e15,made,qwen35_4b,esopt_graph_risk,Ag-Nd-Pd-Pt-Tb,1,10,5,0.57,0.5,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,2,2e5adce2a0d3785a1e1df3c41888f42eed2a23b9e175e3e0b1a4e1d3ef534fff,6064bd564b46ec21f0651410594e0d80889658bfa551f595a78827dfefd8b7b4,evaluation_workspaces/made_all30_b10_v1/workers/worker_00/jobs/all30-final-made-699a176cb7e28a04547e3e15/4ce32b104af34175b7fd841d91bbf347/result.json,29442e69949e57a970e3313d608c2d1a534c6893cad917d1041a05592182ce4f,evaluation_workspaces/made_all30_b10_v1/workers/worker_00/jobs/all30-final-made-699a176cb7e28a04547e3e15/4ce32b104af34175b7fd841d91bbf347/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
all30-final-made-904eb201596a60402fead162,made,qwen35_4b,baseline,Al-Hg-K-Mg-W,1,10,0,0.0,0.0,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,29e92d75848cabb4f068fb3e34d83a07202a6b45895069a2d8d416e31a09277d,evaluation_workspaces/made_all30_b10_v1/workers/worker_01/jobs/all30-final-made-904eb201596a60402fead162/350375ddcd7942699a69977ac4649a87/result.json,1b00290694541d38ffab6cdc6adcbe5b3fb9ddcfb07da052b57553b135fe8380,evaluation_workspaces/made_all30_b10_v1/workers/worker_01/jobs/all30-final-made-904eb201596a60402fead162/350375ddcd7942699a69977ac4649a87/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
all30-final-made-a42b15610f22ef80153727db,made,qwen35_4b,esopt_graph_risk,Al-Hg-K-Mg-W,1,10,0,0.0,0.0,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,2,2e5adce2a0d3785a1e1df3c41888f42eed2a23b9e175e3e0b1a4e1d3ef534fff,19903342d3307b806507c2f17045307efbbdfafe07ee4ef734fe0a110d3500ca,evaluation_workspaces/made_all30_b10_v1/workers/worker_01/jobs/all30-final-made-a42b15610f22ef80153727db/9ee1c0fc81354b5c9e0d6a708688b9f4/result.json,18579aca85201faa8e938d1fd6d9b53f082c22e7ad7ac9a6e3a144a888995c16,evaluation_workspaces/made_all30_b10_v1/workers/worker_01/jobs/all30-final-made-a42b15610f22ef80153727db/9ee1c0fc81354b5c9e0d6a708688b9f4/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
core-final-made-b3cf3eb0b0abac870322dfca,made,qwen35_4b,baseline,Al-Li-V,1,10,0,0.0,0.0,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,57c2ba5dab897b80b3ac22f10de9555ab27a60428ce66e32a37d59e2ba2da569,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-b3cf3eb0b0abac870322dfca/98e956e2c2d6426eb3565f40ebc9fc12/result.json,5b867700d941eb10443979f4c4615c6638ff6a5c32b98120045562a40e8e5ffc,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-b3cf3eb0b0abac870322dfca/98e956e2c2d6426eb3565f40ebc9fc12/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
core-final-made-62c11475b68fc27b52f90528,made,qwen35_4b,esopt_graph_risk,Al-Li-V,1,10,2,0.18,0.2,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,2,2e5adce2a0d3785a1e1df3c41888f42eed2a23b9e175e3e0b1a4e1d3ef534fff,4a48578474376701b499ad706f1ef7be39348db3c1169b95489eada9cafa670f,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-62c11475b68fc27b52f90528/06784341da0e4872b5d9437c6b99fd5e/result.json,6a36bfd094d15e917491b6dcc8bb6399ec6d6a935fbbbab3659fe80e1d28bbf6,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-62c11475b68fc27b52f90528/06784341da0e4872b5d9437c6b99fd5e/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
all30-final-made-e09a34e29836469e9ba4b8e4,made,qwen35_4b,baseline,Al-Lu-Pt-Rb-Sm,1,10,0,0.0,0.0,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,d6b3c60292fee58b82f2fc2e058b9257a869952c8fd58a8d5d7f59bf25c7760f,evaluation_workspaces/made_all30_b10_v1/workers/worker_02/jobs/all30-final-made-e09a34e29836469e9ba4b8e4/b4be18c0484d4437bf873ad08cb86a43/result.json,a64b4be6ff916de016ed40012d2872373d30f2cc05d25b02d9083c2519b0ef10,evaluation_workspaces/made_all30_b10_v1/workers/worker_02/jobs/all30-final-made-e09a34e29836469e9ba4b8e4/b4be18c0484d4437bf873ad08cb86a43/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
all30-final-made-9bf29fcfc2d0b0e48b8c6c4d,made,qwen35_4b,esopt_graph_risk,Al-Lu-Pt-Rb-Sm,1,10,7,0.83,0.7,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,2,2e5adce2a0d3785a1e1df3c41888f42eed2a23b9e175e3e0b1a4e1d3ef534fff,dee27b9b08f2629fb0d3e140a09a1866f618c4496038389c1b0bd20a077ba971,evaluation_workspaces/made_all30_b10_v1/workers/worker_02/jobs/all30-final-made-9bf29fcfc2d0b0e48b8c6c4d/fd1c0975e847438cb0c7535dc5fc0f1e/result.json,36e54c8d93e81497cf1c947ce6515beecf489d94cf181fbe490effdf2e2daddc,evaluation_workspaces/made_all30_b10_v1/workers/worker_02/jobs/all30-final-made-9bf29fcfc2d0b0e48b8c6c4d/fd1c0975e847438cb0c7535dc5fc0f1e/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
core-final-made-e6ec0e8c12056042d3e30a1a,made,qwen35_4b,baseline,Al-V-Zn,1,10,6,0.68,0.6,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,d9e2464ee43fce63fc9519dbbc1c6d77ec0fe14593ec693e80ec19ab8030675b,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-e6ec0e8c12056042d3e30a1a/6ec1fa3fe2584ccc8371bbb10bf11c3a/result.json,0723921be0220c6e783f1da8dc3567b0d7f4c7714605a3ddb82ac93751bab4ca,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-e6ec0e8c12056042d3e30a1a/6ec1fa3fe2584ccc8371bbb10bf11c3a/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
core-final-made-d063abf251631ee8047431e9,made,qwen35_4b,esopt_graph_risk,Al-V-Zn,1,10,4,0.32,0.4,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,2,2e5adce2a0d3785a1e1df3c41888f42eed2a23b9e175e3e0b1a4e1d3ef534fff,8f68cef15d506e2a1d969bb879891276c6e6c480232a595dcc2cda61879394cc,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-d063abf251631ee8047431e9/ace8a45b0fcf4a0cacf0f4be86e09bbb/result.json,7717bdd982cad0fc191f95fe3f9d99ed24851457f42a67c634231147f0b3ecdf,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-d063abf251631ee8047431e9/ace8a45b0fcf4a0cacf0f4be86e09bbb/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
all30-final-made-38b4f9685baec5bbe9d9f95b,made,qwen35_4b,baseline,Au-Cr-Cs-Dy,1,10,0,0.0,0.0,10,True,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,68625fe734e288b4d63eb68e7e0dadc81fd3480d96b5856a103ef21a1f6195cd,evaluation_workspaces/made_all30_b10_v1/workers/worker_00/jobs/all30-final-made-38b4f9685baec5bbe9d9f95b/0f5f5304389f44039627ed6c4f37e924/result.json,78b14d29a0d8085c123c6f3afbd006763f6918493aece29434f3f852fdef5593,evaluation_workspaces/made_all30_b10_v1/workers/worker_00/jobs/all30-final-made-38b4f9685baec5bbe9d9f95b/0f5f5304389f44039627ed6c4f37e924/rpc/rpc.jsonl,,read_only_result_hash_identity_budget_and_original_RPC_curve_checked_at_snapshot
