budget,seed,task_id,arm,SUN,AUDC,first_positive_query,SUN_at_query5,SUN_change_queries5_to10,result_path,result_sha256,receipt_path,receipt_sha256,candidate_oracle_attempts,initialization_oracle_attempts,surrogate_oracle_attempts,score_sentinels,llm_calls,tool_attempts,graph_seconds,wall_seconds
10,2,Al-Li-V,baseline_reference,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-32355a4d9bcc6137d52ada7b/result.json,ecd5adb1d0b577a0f9a373827a2d6ad371861e99c56a97d93ed3a585a76edf97,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-32355a4d9bcc6137d52ada7b/receipt.json,59c4514daf8eebdf454c8a7173436a0fac15b6a3c161d480c33fa84075b58ee2,10,16,190,1,24,24,0,660.474311394617
10,2,Al-Li-V,uq_only_support_aware,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-ccd9a242b4945d6cfcdb68dc/result.json,6e704bae79f53cc75724be0693d79838eb4056138c1366461dbf7f6ccbf31344,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-ccd9a242b4945d6cfcdb68dc/receipt.json,4c2896fdc84c36c850bc254a2fe2798e3405b151c9ad089d0c0fe2310acaf979,10,16,102,,23,22,1124.7261922690086,1732.5162540143356
10,2,Al-Li-V,es_only_independent,1,0.15,3,1,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-2e27f5563acb699daae1d131/result.json,3def5a89eaf3f089ed59ffe1070e84d683f0ec252f3e5e0d5d9dff12099d4521,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-2e27f5563acb699daae1d131/receipt.json,e3c884a9c112424d3e7235e029684703a7a5351d896b3181c23baa10e9879631,10,16,31,3,17,16,0,320.77167619857937
10,2,Al-Li-V,full_support_aware,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-bceab85ac67db411774a2563/result.json,013df0dbfbd0566787fefda46b5a5acde971e2ba99540a3e17a3d21bd554f86e,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-bceab85ac67db411774a2563/receipt.json,892be4df4e2fb41e1d7b1826f5a6c91a85357ad5317091cf3c847723661586d8,10,16,31,1,18,17,1037.7491201329976,1376.5666472828016
10,2,Al-V-Zn,baseline_reference,4,0.5,1,3,1,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-50555fb4776e15c94b4beec9/result.json,d9b218c8bad233d3536f23da5a6b9c2c2e74be87c1de93e6e773b919ed431287,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-50555fb4776e15c94b4beec9/receipt.json,f7a15955fdfdde536e1d0dc3af88193c45e3d21114c8ff342b32a6fc61d6160d,10,12,91,115,20,19,0,392.72770109865814
10,2,Al-V-Zn,uq_only_support_aware,5,0.71,1,4,1,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-50481d7de104501120b84fb5/result.json,9f183bc7c79bc62028d5a43c4d217abc8182464d769a2fec953307d58f40e5a2,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-50481d7de104501120b84fb5/receipt.json,7293964b29eac400a8ed0eada75e246dfbf2285bec429efa128476cdd00d7ae2,10,12,67,41,24,21,1311.1910614655353,1833.4114383989945
10,2,Al-V-Zn,es_only_independent,4,0.46,1,2,2,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-b20a8fccedb10da7d5ed97a6/result.json,a2d4dddec8c2bb359914f5b829ba17d6a92055b259d67f1b6bb0abf6109822a0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-b20a8fccedb10da7d5ed97a6/receipt.json,b5fb9e5cf80da00c0975cfad0889a127dbb8df412d547dbd1bc1c4e99280b58e,10,12,29,28,24,22,0,414.2441251948476
10,2,Al-V-Zn,full_support_aware,4,0.42,1,2,2,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-ca740c106b65301c3c20f121/result.json,f23bef1538602e0229db2d57a3b1cc8ff0286978a1dbda5710180e2d351c34a0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-ca740c106b65301c3c20f121/receipt.json,ad83b5f4de5f0d231a95ec6d5bf99270fa199c968f6dbaecaeb27a45210652bb,10,12,,,17,15,967.7010762067512,1292.4230958055705
10,2,Au-Cr-Cs-Dy,baseline_reference,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-6c30e36bb5b40e6b0e509b55/result.json,308fb83a3f9c23c3413c845ef2561dcbcf8eddf1d97a4aeecf54c226247334cf,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-6c30e36bb5b40e6b0e509b55/receipt.json,5a2151ae02c7e3a9d2ca3b4e5a89c097257991dd22db0c1e4a35594fee2a5063,10,11,106,,23,20,0,452.99927620217204
10,2,Au-Cr-Cs-Dy,uq_only_support_aware,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-c421d416e4380380b8401e1a/result.json,7205a844e1ffc1cc8ff9706a869566e7cd53591e44a14e4e4bfc3eb4985bd901,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-c421d416e4380380b8401e1a/receipt.json,283ac3cf665b5a557dd6c7abc4425774d5eb8974ee6cb04c51aa88a8f495d99c,10,11,74,2,22,20,1304.6598131908104,1703.55638254527
