condition,attempt_index,candidate_count,executed_action,executed_action_changed_from_first_proposal,first_action,generated_revision_action_different,official_or_parser_failure,repeats_previous_failed_action,revision_action,revision_generated_but_unparsed,official_score_transition
Native1,1,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,False,False,,False,"{""attempt_index"": 1, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 0, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,2,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 2, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 1, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,3,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""8549""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""8549""}",False,False,False,,False,"{""attempt_index"": 3, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 2, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,4,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 4, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 3, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,5,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 5, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 4, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,6,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,False,False,,False,"{""attempt_index"": 6, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 5, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,7,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 7, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 6, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,8,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,False,False,,False,"{""attempt_index"": 8, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 7, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,9,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 9, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 8, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,10,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 10, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 9, ""score_after"": 0.0, ""score_before"": 0.0}"
