condition,parameter_stratum,attempt,recorded_selected,supported_two,Internal,NoGraph,GraphOnly
G0_UQ,G0,1,0,False,0,0,0
G0_UQ,G0,2,0,True,0,0,0
G0_UQ,G0,3,0,True,0,0,0
G0_UQ,G0,4,1,True,1,1,1
G0_UQ,G0,5,0,False,0,0,0
G0_UQ,G0,6,1,True,1,0,1
G0_UQ,G0,7,0,True,0,0,1
G0_UQ,G0,8,0,False,0,0,0
G0_UQ,G0,9,0,False,0,0,0
G0_UQ,G0,10,1,True,1,0,1
G0_UQ,G0,11,0,False,0,0,0
G0_UQ,G0,12,0,False,0,0,0
G0_UQ,G0,13,0,False,0,0,0
G0_UQ,G0,14,0,False,0,0,0
G0_UQ,G0,15,0,False,0,0,0
G0_UQ,G0,16,0,False,0,0,0
G0_UQ,G0,17,0,False,0,0,0
G0_UQ,G0,18,0,False,0,0,0
G0_UQ,G0,19,0,False,0,0,0
G0_UQ,G0,20,0,False,0,0,0
G0_UQ,G0,21,0,False,0,0,0
G0_UQ,G0,22,0,False,0,0,0
G0_UQ,G0,23,0,False,0,0,0
G0_UQ,G0,24,0,False,0,0,0
G0_UQ,G0,25,0,False,0,0,0
G0_UQ,G0,26,0,False,0,0,0
G0_UQ,G0,27,0,False,0,0,0
G0_UQ,G0,28,0,False,0,0,0
G0_UQ,G0,29,0,False,0,0,0
G0_UQ,G0,30,0,False,0,0,0
Full,selected_G1,1,0,False,0,0,0
Full,selected_G1,2,0,False,0,0,0
Full,selected_G1,3,0,False,0,0,0
Full,selected_G1,4,0,False,0,0,0
Full,selected_G1,5,0,False,0,0,0
Full,selected_G1,6,0,False,0,0,0
Full,selected_G1,7,0,False,0,0,0
Full,selected_G1,8,0,False,0,0,0
Full,selected_G1,9,0,False,0,0,0
Full,selected_G1,10,0,False,0,0,0
Full,selected_G1,11,0,False,0,0,0
Full,selected_G1,12,0,False,0,0,0
Full,selected_G1,13,0,False,0,0,0
Full,selected_G1,14,0,False,0,0,0
Full,selected_G1,15,0,False,0,0,0
Full,selected_G1,16,0,False,0,0,0
Full,selected_G1,17,1,True,1,1,1
Full,selected_G1,18,1,True,1,1,1
Full,selected_G1,19,1,True,1,1,0
Full,selected_G1,20,1,True,1,1,1
Full,selected_G1,21,1,True,1,1,1
Full,selected_G1,22,1,True,1,0,1
Full,selected_G1,23,1,True,1,0,1
Full,selected_G1,24,1,True,1,1,1
Full,selected_G1,25,1,True,1,1,1
Full,selected_G1,26,1,True,1,1,1
Full,selected_G1,27,0,True,0,1,0
Full,selected_G1,28,1,True,1,1,1
Full,selected_G1,29,1,True,1,1,1
Full,selected_G1,30,1,True,1,1,1
selected_theta_NN_off,selected_G1,1,0,False,0,0,0
selected_theta_NN_off,selected_G1,2,0,False,0,0,0
selected_theta_NN_off,selected_G1,3,0,False,0,0,0
selected_theta_NN_off,selected_G1,4,0,False,0,0,0
selected_theta_NN_off,selected_G1,5,0,False,0,0,0
selected_theta_NN_off,selected_G1,6,0,False,0,0,0
selected_theta_NN_off,selected_G1,7,0,False,0,0,0
selected_theta_NN_off,selected_G1,8,0,False,0,0,0
selected_theta_NN_off,selected_G1,9,0,False,0,0,0
selected_theta_NN_off,selected_G1,10,0,False,0,0,0
selected_theta_NN_off,selected_G1,11,0,False,0,0,0
selected_theta_NN_off,selected_G1,12,0,False,0,0,0
selected_theta_NN_off,selected_G1,13,0,False,0,0,0
selected_theta_NN_off,selected_G1,14,0,False,0,0,0
selected_theta_NN_off,selected_G1,15,0,False,0,0,0
selected_theta_NN_off,selected_G1,16,0,False,0,0,0
selected_theta_NN_off,selected_G1,17,0,False,0,0,0
selected_theta_NN_off,selected_G1,18,0,False,0,0,0
selected_theta_NN_off,selected_G1,19,0,False,0,0,0
selected_theta_NN_off,selected_G1,20,0,False,0,0,0
selected_theta_NN_off,selected_G1,21,0,False,0,0,0
selected_theta_NN_off,selected_G1,22,0,False,0,0,0
selected_theta_NN_off,selected_G1,23,0,False,0,0,0
selected_theta_NN_off,selected_G1,24,0,False,0,0,0
selected_theta_NN_off,selected_G1,25,0,False,0,0,0
selected_theta_NN_off,selected_G1,26,0,False,0,0,0
selected_theta_NN_off,selected_G1,27,0,False,0,0,0
selected_theta_NN_off,selected_G1,28,0,False,0,0,0
selected_theta_NN_off,selected_G1,29,0,False,0,0,0
selected_theta_NN_off,selected_G1,30,0,False,0,0,0
