task_id,budget,seed,arm,status,job_id,SUN,mSUN,AUDC,result_path,result_sha256,receipt_sha256,registration_sha256
Al-Li-V,10,2,baseline_reference,accepted,component-final-32355a4d9bcc6137d52ada7b,0,0.0,0.0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-32355a4d9bcc6137d52ada7b/result.json,ecd5adb1d0b577a0f9a373827a2d6ad371861e99c56a97d93ed3a585a76edf97,59c4514daf8eebdf454c8a7173436a0fac15b6a3c161d480c33fa84075b58ee2,c11cfbe1a6cce75f18aa1e8ac9ad059e5f60f32a41be24f37d449f3cab83e027
Al-Li-V,10,3,baseline_reference,accepted,component-final-10ad51e80000935d29c71786,2,0.2,0.08,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-10ad51e80000935d29c71786/result.json,1cec95d2d75db3d5a97682914ddb7bda69f833c414730a67a3ff7a319c226486,214bfc7542b86abc31f2aefdfdfd93a58914208c7b26c63cdd98c731bc126329,c11cfbe1a6cce75f18aa1e8ac9ad059e5f60f32a41be24f37d449f3cab83e027
Al-Li-V,10,4,baseline_reference,accepted,component-final-a51d66c7e21ca9788f45a008,1,0.1,0.15,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-a51d66c7e21ca9788f45a008/result.json,c532fb3814b448aa15c8b3f7b6856b05e5fa4b8b4e1c8c3047042a883bfe77d8,ebc73abccc1b3b986664b2f40c22e466217011fe305e74781fd6250f9063d2e2,c11cfbe1a6cce75f18aa1e8ac9ad059e5f60f32a41be24f37d449f3cab83e027
Al-Li-V,10,2,uq_only_support_aware,accepted,support-final-ccd9a242b4945d6cfcdb68dc,0,0.0,0.0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-ccd9a242b4945d6cfcdb68dc/result.json,6e704bae79f53cc75724be0693d79838eb4056138c1366461dbf7f6ccbf31344,4c2896fdc84c36c850bc254a2fe2798e3405b151c9ad089d0c0fe2310acaf979,0088ab73351c0ce39f06e5b9c4c991feb9129dd39d80eeb41cd186c7f104d7ac
Al-Li-V,10,3,uq_only_support_aware,accepted,support-final-2cd11ff827dc56a49263e71d,1,0.1,0.09,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-2cd11ff827dc56a49263e71d/result.json,32e76c33be1e9056e959b6ac5d2c5f10f7fc136409e62d222c1d558d9de4f902,2ca150e26cf96dfe655e0596aab50009d56af32ada8ce5345dd0931f26dd0d20,0088ab73351c0ce39f06e5b9c4c991feb9129dd39d80eeb41cd186c7f104d7ac
Al-Li-V,10,4,uq_only_support_aware,unclaimed,,,,,,,,0088ab73351c0ce39f06e5b9c4c991feb9129dd39d80eeb41cd186c7f104d7ac
Al-Li-V,10,2,es_only_independent,accepted,component-final-2e27f5563acb699daae1d131,1,0.1,0.15,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-2e27f5563acb699daae1d131/result.json,3def5a89eaf3f089ed59ffe1070e84d683f0ec252f3e5e0d5d9dff12099d4521,e3c884a9c112424d3e7235e029684703a7a5351d896b3181c23baa10e9879631,c11cfbe1a6cce75f18aa1e8ac9ad059e5f60f32a41be24f37d449f3cab83e027
Al-Li-V,10,3,es_only_independent,accepted,component-final-8e1fbdae4c717bead751ef3f,0,0.0,0.0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-8e1fbdae4c717bead751ef3f/result.json,d2f714fa8c04ed184e9e2f67037c30579b9dab0a37e3b0de9e2d9267c137f529,a9280dd03a82a8ff08a16f5042bac4916176637f2fa53e85c3309e2025f9a463,c11cfbe1a6cce75f18aa1e8ac9ad059e5f60f32a41be24f37d449f3cab83e027
Al-Li-V,10,4,es_only_independent,accepted,component-final-d183e09d99cadf104f59d07e,0,0.0,0.0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-d183e09d99cadf104f59d07e/result.json,220d58dd32917d137646f7ce6ab230ce6e110276428bcb47db0bf3fccdbf8981,71976c8c6b868ea95eb84e666762122224a900412b8b200e2b00ea6ecbba4ed2,c11cfbe1a6cce75f18aa1e8ac9ad059e5f60f32a41be24f37d449f3cab83e027
Al-Li-V,10,2,full_support_aware,accepted,support-final-bceab85ac67db411774a2563,0,0.0,0.0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-bceab85ac67db411774a2563/result.json,013df0dbfbd0566787fefda46b5a5acde971e2ba99540a3e17a3d21bd554f86e,892be4df4e2fb41e1d7b1826f5a6c91a85357ad5317091cf3c847723661586d8,0088ab73351c0ce39f06e5b9c4c991feb9129dd39d80eeb41cd186c7f104d7ac
