arm,action,action_type,attempt_index,error_excerpt,none_serialization_repair,official_success,sampling_seed,score_after,score_before,score_delta,score_observation_available,submitted
original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""42983""}",TELEPORT_TO_OBJECT,1,,False,True,1295281849856239451,0.0,0.0,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": ""33276"", ""arg2"": ""52922""}",USE,2,"arg2: Could not find object with UUID '52922' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). Note: expected type of arg2 is 'int', but found `<class 'str'>`. ",False,False,5371188206588871050,0.0,0.0,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 52922}",USE,3,"arg2: Could not find object with UUID '52922' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,6700088870495763018,0.0,0.0,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""52922""}",TELEPORT_TO_OBJECT,4,,False,True,6022231443573132230,0.0,0.0,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": 52922}",TELEPORT_TO_OBJECT,5,,False,True,8990132413995315100,0.0,0.0,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 52922}",USE,6,"arg1: Could not find object with UUID '33276'. Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,6166139344501877529,0.0,0.0,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""42983""}",TELEPORT_TO_OBJECT,7,,False,True,5528628430911536339,0.0,0.0,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""42983""}",TELEPORT_TO_OBJECT,8,,False,True,3593778901889831540,0.0,0.0,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""42983""}",TELEPORT_TO_OBJECT,9,,False,True,3242792900669881149,0.0,0.0,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 52922}",USE,10,"arg2: Could not find object with UUID '52922' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,950382964145275188,0.0,0.0,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""42983""}",TELEPORT_TO_OBJECT,11,,False,True,4559573580679989498,0.0,0.0,0.0,True,True
original_world0_p102,"{""action"": ""PICKUP"", ""arg1"": ""33276""}",PICKUP,12,,False,True,4438390461482354873,0.125,0.0,0.125,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""52922""}",TELEPORT_TO_OBJECT,13,,False,True,9204487650637440695,0.125,0.125,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 52922}",USE,14,,False,True,3950164105095359993,0.125,0.125,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Instrument Table""}",TELEPORT_TO_LOCATION,15,,False,True,7810807156171003799,0.125,0.125,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",TELEPORT_TO_LOCATION,16,,False,True,5950491099946644302,0.125,0.125,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",TELEPORT_TO_LOCATION,17,,False,True,8540083375196839691,0.125,0.125,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 3""}",TELEPORT_TO_LOCATION,18,,False,True,7510750066373654512,0.125,0.125,0.0,True,True
