arm,task_id,seed,budget,job_id,status,SUN,AUDC,mSUN,receipt_artifact,receipt_sha256,result_artifact,result_sha256
baseline_reference,Al-Li-V,2,10,component-final-32355a4d9bcc6137d52ada7b,complete,0,0.0,0.0,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-32355a4d9bcc6137d52ada7b/receipt.json,59c4514daf8eebdf454c8a7173436a0fac15b6a3c161d480c33fa84075b58ee2,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-32355a4d9bcc6137d52ada7b/result.json,ecd5adb1d0b577a0f9a373827a2d6ad371861e99c56a97d93ed3a585a76edf97
baseline_reference,Al-Li-V,3,10,component-final-10ad51e80000935d29c71786,complete,2,0.08,0.2,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-10ad51e80000935d29c71786/receipt.json,214bfc7542b86abc31f2aefdfdfd93a58914208c7b26c63cdd98c731bc126329,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-10ad51e80000935d29c71786/result.json,1cec95d2d75db3d5a97682914ddb7bda69f833c414730a67a3ff7a319c226486
baseline_reference,Al-Li-V,4,10,component-final-a51d66c7e21ca9788f45a008,complete,1,0.15,0.1,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-a51d66c7e21ca9788f45a008/receipt.json,ebc73abccc1b3b986664b2f40c22e466217011fe305e74781fd6250f9063d2e2,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-a51d66c7e21ca9788f45a008/result.json,c532fb3814b448aa15c8b3f7b6856b05e5fa4b8b4e1c8c3047042a883bfe77d8
baseline_reference,Al-V-Zn,2,10,component-final-50555fb4776e15c94b4beec9,complete,4,0.5,0.4,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-50555fb4776e15c94b4beec9/receipt.json,f7a15955fdfdde536e1d0dc3af88193c45e3d21114c8ff342b32a6fc61d6160d,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-50555fb4776e15c94b4beec9/result.json,d9b218c8bad233d3536f23da5a6b9c2c2e74be87c1de93e6e773b919ed431287
baseline_reference,Al-V-Zn,3,10,component-final-52aa59f42080e58cda2f64b0,complete,5,0.69,0.5,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-52aa59f42080e58cda2f64b0/receipt.json,d9a78406d23d8012c245595798a9be7839defda74d9de889076ffac0bcc6ae24,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-52aa59f42080e58cda2f64b0/result.json,b2b55503dfd55b427a93f4bf41ffd256d8fbf3eab136003a3e6744e16ecedb00
baseline_reference,Al-V-Zn,4,10,component-final-70adf56898316f73ea4720ab,complete,6,0.66,0.6,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-70adf56898316f73ea4720ab/receipt.json,6bf2c5f521d1f128eecd97185e22c5e433922b8d3d5779a87e2c6cfe47beb6b8,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-70adf56898316f73ea4720ab/result.json,dc46959c1f59d28c120f90d490678fb3482c7311f6d7b5b9c2ad1dcac129da09
baseline_reference,Au-K-Tb,2,10,component-final-829f81d1c8b6dff9869aa711,complete,4,0.26,0.4,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-829f81d1c8b6dff9869aa711/receipt.json,7a7f9f6aafa58f37965ee481e6d0c217b06416324ed640c4b58cca29d4a06627,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-829f81d1c8b6dff9869aa711/result.json,9f07e57ccac9ecbbb8efdba9bb53f40e01516281d4a483b4ac79549aabcc3581
baseline_reference,Au-K-Tb,3,10,component-final-57ec2ac8f1ba4127bcccc073,complete,0,0.0,0.0,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-57ec2ac8f1ba4127bcccc073/receipt.json,d25fdf5ef1df1db10ff5f80daa39384c2563ea559193dbe0a6c29b32997ac356,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-57ec2ac8f1ba4127bcccc073/result.json,5141a04e7c4c4ed3274118fc1ca5c91b8a99123e2d762a5e92704d1f316d73ca
baseline_reference,Au-K-Tb,4,10,component-final-b1999f2e9c20505d5a373485,complete,0,0.0,0.0,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-b1999f2e9c20505d5a373485/receipt.json,a5473a8893a3a82ea450dc9a9c13e73b31af2737709ec2f4262e531b1411b6b3,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-b1999f2e9c20505d5a373485/result.json,e435c92428dbdf393ee2be8b0d27041c49689bba1d5bfc0599132b987da9c7df
baseline_reference,Co-Dy-W,2,10,component-final-2dce2a3709aad3945727809d,complete,0,0.0,0.0,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-2dce2a3709aad3945727809d/receipt.json,7653fb2dd0ccf599b02b05e9db40a127b7902c04e9bab1ce822827adb4b07aed,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-2dce2a3709aad3945727809d/result.json,37c8b86237908291514a07069995060c740cbff46380cf93a5a7a5660c241954
